strain	species	clade	accession	country	location
CL204.3	S. eubayanus	PB3	SAMN11565824	Chile	Villarrica
CL210.1	S. eubayanus	ADM	SAMN11565791	Chile	Villarrica
CL211.3	S. eubayanus	PB3	SAMN11565792	Chile	Villarrica
CL212.2	S. eubayanus	PB3	SAMN11565819	Chile	Villarrica
CL215.1	S. eubayanus	PB3	SAMN11565767	Chile	Villarrica
CL216.1	S. eubayanus	PB3	SAMN11565818	Chile	Villarrica
CL218.1	S. eubayanus	PB3	SAMN11565821	Chile	Villarrica
CL220.3	S. eubayanus	PB3	SAMN11565814	Chile	Villarrica
CL221.1	S. eubayanus	PB3	SAMN11565808	Chile	Villarrica
CL248.1	S. eubayanus	PB2	SAMN11565774	Chile	Villarrica
CL444.2	S. eubayanus	PB1	SAMN11565789	Chile	Coyhaique
CL446.2	S. eubayanus	PB1	SAMN11565750	Chile	Coyhaique
CL447.3	S. eubayanus	PB1	SAMN11565746	Chile	Coyhaique
CL448.1	S. eubayanus	PB1	SAMN11565749	Chile	Coyhaique
CL449.1	S. eubayanus	PB1	SAMN11565745	Chile	Coyhaique
CL450.1	S. eubayanus	PB1	SAMN11565754	Chile	Coyhaique
CL451.4	S. eubayanus	ADM	SAMN11565747	Chile	Coyhaique
CL467.2	S. eubayanus	PB1	SAMN11565776	Chile	Coyhaique
CL471.2	S. eubayanus	PB1	SAMN11565771	Chile	Coyhaique
CL601.1	S. eubayanus	PB3	SAMN11565781	Chile	Puyehue
CL604.1	S. eubayanus	PB3	SAMN11565764	Chile	Puyehue
CL605.1	S. eubayanus	PB1	SAMN11565784	Chile	Osorno Volcano
CL606.1	S. eubayanus	PB1	SAMN11565787	Chile	Osorno Volcano
CL607.1	S. eubayanus	PB3	SAMN11565768	Chile	Puyehue
CL608.1	S. eubayanus	PB3	SAMN11565796	Chile	Puyehue
CL609.1	S. eubayanus	ADM	SAMN11565756	Chile	Puyehue
CL610.1	S. eubayanus	PB3	SAMN11565759	Chile	Puyehue
CL611.1	S. eubayanus	PB3	SAMN11565810	Chile	Puyehue
CL619.1	S. eubayanus	PB1	SAMN11565758	Chile	Osorno Volcano
CL620.1	S. eubayanus	PB3	SAMN11565793	Chile	Osorno Volcano
CL621.1	S. eubayanus	PB1	SAMN11565743	Chile	Osorno Volcano
CL701.1	S. eubayanus	PB2	SAMN11565761	Chile	Altos de Lircay
CL702.1	S. eubayanus	PB2	SAMN11565766	Chile	Altos de Lircay
CL703.2	S. eubayanus	PB2	SAMN11565773	Chile	Altos de Lircay
CL704.2	S. eubayanus	PB2	SAMN11565769	Chile	Altos de Lircay
CL705.1	S. eubayanus	PB2	SAMN11565762	Chile	Altos de Lircay
CL706.2	S. eubayanus	PB2	SAMN11565780	Chile	Altos de Lircay
CL710.1	S. eubayanus	PB2	SAMN11565782	Chile	Altos de Lircay
CL711.2	S. eubayanus	PB2	SAMN11565763	Chile	Altos de Lircay
CL715.1	S. eubayanus	PB2	SAMN11565760	Chile	Altos de Lircay
CL801.1	S. eubayanus	PB1	SAMN11565757	Chile	Karukinka
CL803.1	S. eubayanus	ADM	SAMN11565805	Chile	Karukinka
CL804.1	S. eubayanus	ADM	SAMN11565765	Chile	Karukinka
CL807.1	S. eubayanus	ADM	SAMN11565777	Chile	Karukinka
CL810.1	S. eubayanus	ADM	SAMN11565778	Chile	Karukinka
CL812.1	S. eubayanus	PB1	SAMN11565772	Chile	Karukinka
CL813.1	S. eubayanus	PB1	SAMN11565801	Chile	Magallanes
CL814.1	S. eubayanus	PB1	SAMN11565811	Chile	Magallanes
CL815.1	S. eubayanus	PB1	SAMN11565799	Chile	Magallanes
CL816.1	S. eubayanus	PB1	SAMN11565748	Chile	Karukinka
CL817.1	S. eubayanus	PB1	SAMN11565812	Chile	Magallanes
CL821.1	S. eubayanus	ADM	SAMN11565803	Chile	Karukinka
CL824.1	S. eubayanus	PB1	SAMN11565753	Chile	Karukinka
CL835.1	S. eubayanus	PB1	SAMN11565744	Chile	Magallanes
CL902.1	S. eubayanus	PB3	SAMN11565822	Chile	Choshuenco
CL903.1	S. eubayanus	PB3	SAMN11565820	Chile	Choshuenco
CL904.1	S. eubayanus	PB3	SAMN11565823	Chile	Choshuenco
CL905.1	S. eubayanus	PB3	SAMN11565806	Chile	Choshuenco
CL906.1	S. eubayanus	PB3	SAMN11565817	Chile	Choshuenco
CL907.1	S. eubayanus	PB3	SAMN11565815	Chile	Choshuenco
CL909.1	S. eubayanus	PB3	SAMN11565813	Chile	Choshuenco
CL910.1	S. eubayanus	PB2	SAMN11565807	Chile	Nahuelbuta
CL915.1	S. eubayanus	PB2	SAMN11565809	Chile	Nahuelbuta
CL916.1	S. eubayanus	PB3	SAMN11565794	Chile	Choshuenco
CL1001.1	S. eubayanus	PB1	SAMN11565788	Chile	Paine Towers
