Strain,Species,Clade,Accession,Link,LOCATION,LAT,LON
CL916.1,S. eubayanus,PB3,SAMN11565794,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565794/,Choshuenco,-39.833274,-72.082202
CL909.1,S. eubayanus,PB3,SAMN11565813,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565813/,Choshuenco,-39.833274,-72.082202
CL907.1,S. eubayanus,PB3,SAMN11565815,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565815/,Choshuenco,-39.833274,-72.082202
CL906.1,S. eubayanus,PB3,SAMN11565817,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565817/,Choshuenco,-39.833274,-72.082202
CL905.1,S. eubayanus,PB3,SAMN11565806,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565806/,Choshuenco,-39.833274,-72.082202
CL904.1,S. eubayanus,PB3,SAMN11565823,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565823/,Choshuenco,-39.833274,-72.082202
CL903.1,S. eubayanus,PB3,SAMN11565820,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565820/,Choshuenco,-39.833274,-72.082202
CL902.1,S. eubayanus,PB3,SAMN11565822,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565822/,Choshuenco,-39.833274,-72.082202
CL620.1,S. eubayanus,PB3,SAMN11565793,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565793/,Osorno Volcano,-41.087108,-72.488971
CL611.1,S. eubayanus,PB3,SAMN11565810,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565810/,Osorno Volcano,-41.087108,-72.488971
CL610.1,S. eubayanus,PB3,SAMN11565759,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565759/,Puyehue,-39.662728,-72.388317
CL608.1,S. eubayanus,PB3,SAMN11565796,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565796/,Puyehue,-39.662728,-72.388317
CL607.1,S. eubayanus,PB3,SAMN11565768,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565768/,Puyehue,-39.662728,-72.388317
CL604.1,S. eubayanus,PB3,SAMN11565764,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565764/,Puyehue,-39.662728,-72.388317
CL601.1,S. eubayanus,PB3,SAMN11565781,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565781/,Puyehue,-39.662728,-72.388317
CL221.1,S. eubayanus,PB3,SAMN11565808,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565808/,Villarrica,-39.281202,-72.232914
CL220.3,S. eubayanus,PB3,SAMN11565814,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565814/,Villarrica,-39.281202,-72.232914
CL218.1,S. eubayanus,PB3,SAMN11565821,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565821/,Villarrica,-39.281202,-72.232914
CL216.1,S. eubayanus,PB3,SAMN11565818,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565818/,Villarrica,-39.281202,-72.232914
CL215.1,S. eubayanus,PB3,SAMN11565767,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565767/,Villarrica,-39.281202,-72.232914
CL212.2,S. eubayanus,PB3,SAMN11565819,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565819/,Villarrica,-39.281202,-72.232914
CL211.3,S. eubayanus,PB3,SAMN11565792,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565792/,Villarrica,-39.281202,-72.232914
CL204.3,S. eubayanus,PB3,SAMN11565824,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565824/,Villarrica,-39.281202,-72.232914
CL1110.1,S. eubayanus,PB3,SAMN11565795,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565795/,Nahuelbuta,-37.792657,-72.998177
CL1104.1,S. eubayanus,PB3,SAMN11565802,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565802/,Nahuelbuta,-37.792657,-72.998177
CL915.1,S. eubayanus,PB2,SAMN11565809,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565809/,Choshuenco,-39.833274,-72.082202
CL910.1,S. eubayanus,PB2,SAMN11565807,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565807/,Choshuenco,-39.833274,-72.082202
CL715.1,S. eubayanus,PB2,SAMN11565760,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565760/,Altos de Lircay,-35.605572,-70.966332
CL711.2,S. eubayanus,PB2,SAMN11565763,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565763/,Altos de Lircay,-35.605572,-70.966332
CL710.1,S. eubayanus,PB2,SAMN11565782,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565782/,Altos de Lircay,-35.605572,-70.966332
CL706.2,S. eubayanus,PB2,SAMN11565780,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565780/,Altos de Lircay,-35.605572,-70.966332
CL705.1,S. eubayanus,PB2,SAMN11565762,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565762/,Altos de Lircay,-35.605572,-70.966332
CL704.2,S. eubayanus,PB2,SAMN11565769,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565769/,Altos de Lircay,-35.605572,-70.966332
CL703.2,S. eubayanus,PB2,SAMN11565773,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565773/,Altos de Lircay,-35.605572,-70.966332
CL702.1,S. eubayanus,PB2,SAMN11565766,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565766/,Altos de Lircay,-35.605572,-70.966332
CL701.1,S. eubayanus,PB2,SAMN11565761,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565761/,Altos de Lircay,-35.605572,-70.966332
CL248.1,S. eubayanus,PB2,SAMN11565774,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565774/,Villarrica,-39.281202,-72.232914
CL1111.1,S. eubayanus,PB2,SAMN11565797,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565797/,Nahuelbuta,-37.792657,-72.998177
CL1109.1,S. eubayanus,PB2,SAMN11565804,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565804/,Nahuelbuta,-37.792657,-72.998177
